SSB2017,R0
2203623,92.49996
2778357,89.16286
2101488,112.0022
3451170,101.3356
2551942,96.2917
2597223,83.12116
1952849,71.76831
2830312,77.09042
3822243,155.868
3136202,112.2263
3102692,83.45821
3366751,109.1819
3773334,89.69093
2758663,98.02282
2341526,82.02402
4035905,186.9392
4035905,186.9392
2582912,104.628
2375582,128.5503
3417768,104.4314
3704032,118.8206
3704032,118.8206
2405509,102.764
1782816,79.2384
2856134,135.1232
3953611,112.9019
3835910,163.564
5573974,256.0594
4597975,175.9759
2906800,96.9124
7579409,356.1647
2782219,97.37652
2667254,80.13163
3582817,144.8288
6174634,198.1252
2076399,83.6917
5749299,165.0564
3855189,169.351
3090489,78.9888
2413494,71.06751
3671615,155.7376
2660412,106.9077
2815316,99.47618
2815316,99.47618
3060659,126.8499
2473874,93.30874
6018504,212.8137
2497740,90.50624
2497740,90.50624
2083931,81.40971
2788125,72.04668
3527083,143.5052
2339241,94.68287
2487025,90.43607
2831867,98.01567
2474412,125.8079
2678665,89.76381
5015059,154.6161
4212086,173.3625
4317903,193.0132
2770350,96.41005
3010871,98.01569
3173718,120.6872
3645025,106.2249
3645025,106.2249
3645025,106.2249
3144969,86.79907
5338292,209.9813
8640078,282.6401
2420208,81.73295
3442169,69.82343
2885391,80.08354
7014018,288.9652
7014018,288.9652
7014018,288.9652
3770560,106.381
4294533,165.0541
2633876,96.52543
2482388,71.76835
2662610,86.49065
6005803,285.5198
4949341,203.3072
7489375,204.7701
3535513,118.8365
2632929,76.40204
2632929,76.40204
2593355,85.05117
3393260,85.94306
1907451,67.16307
2959961,77.27192
3084181,148.0037
2379809,89.0738
2134552,72.63834
2738287,91.86529
3009434,78.32237
3357017,79.43659
3273858,98.67077
2838969,71.616
2766428,89.07383
3070255,128.4804
3681461,146.8814
4246969,177.899
3055897,76.53799
2448312,103.7074
3227144,106.9985
6451039,164.5176
4661743,201.7014
2766823,82.61185
5961817,213.0402
3199044,119.6493
3202292,85.7198
3408273,90.68454
4640731,175.0094
4640731,175.0094
2477477,86.60067
5520924,185.4638
2718179,88.36664
3271958,91.39979
1826109,73.91491
3040108,126.4553
6856088,273.7417
3818382,110.9098
3818382,110.9098
3759544,103.445
5854668,197.4141
5854668,197.4141
2376929,123.5097
5534668,200.6137
5534668,200.6137
1942235,86.79611
3722622,150.0269
2877604,120.6843
4970405,201.6183
4970405,201.6183
4843240,250.4862
2240064,78.88079
5270682,173.8751
6457503,272.969
3549061,107.5938
3237261,99.87867
3006865,84.50303
4687116,210.4004
3232591,88.03394
5790907,157.0874
2451328,112.5827
3067867,99.41386
3114838,91.11554
2231469,79.19455
1672671,79.04381
3606478,76.10608
2821095,131.0025
4890811,253.8742
2569185,113.8024
2769417,79.37492
3893641,92.95893
2135832,118.8205
2563700,84.07569
3021321,113.0813
2823128,82.50203
3767781,188.5008
2083393,75.69726
3874200,104.3644
3874200,104.3644
3874200,104.3644
2547663,83.16398
3048130,117.7376
3647807,202.4106
3647807,202.4106
2427637,82.73817
5984876,208.3651
3309717,121.6388
1997121,99.78425
6542112,214.7056
2703641,83.12208
7230996,243.5406
1996393,79.89506
2282585,118.2199
5253934,145.1412
5370049,201.3182
5993531,289.5975
2793439,81.46335
2716160,91.60294
3404580,88.78935
2971895,74.60679
2973020,154.0572
3141093,109.9528
8051479,286.4524
3121025,95.51971
3658557,93.02224
2210436,84.96503
7653982,280.9269
2708962,110.7024
2416601,96.63841
3281815,93.34475
2236281,97.22072
2825757,81.92492
2815191,85.73109
2531723,106.9077
2218004,78.7739
2404149,112.1451
3280831,76.28726
5709697,149.1473
3034053,75.78484
2750414,80.70862
2661268,75.10536
4084167,194.3349
2527509,75.47688
3454322,77.54923
5436450,197.0698
2370495,99.64015
2407047,119.8555
2407047,119.8555
2407047,119.8555
3294725,85.56471
2151918,75.54064
6971152,305.0794
2744926,101.1327
2744926,101.1327
2103949,71.61599
1918957,76.71836
3505465,76.25487
3299449,74.02088
2675229,88.19877
2928688,81.92492
2493345,105.2236
2182299,88.50257
2775824,130.2635
2197041,87.35983
2992659,72.04908
2767081,87.31199
3226770,121.8064
3494901,150.7484
5368582,150.7343
3035727,74.39486
1971665,74.37806
2873442,70.48773
4222678,120.6186
2241645,105.1839
2513832,125.808
5893966,171.0787
3149994,110.9109
2022514,71.10387
3648420,75.84555
3256738,73.18317
5611069,201.8017
4693693,113.7701
4693693,113.7701
2033971,86.35339
3360718,70.02047
4952615,179.2349
4882248,150.7442
2406083,96.91233
2894570,77.72472
3016410,85.20616
3204361,78.80704
2460111,123.3644
2525349,85.73114
2297874,97.86776
2723274,78.68836
6335964,177.5446
2353438,73.3215
